text,amount_vnd,category,type
Caffe vs đám bạn 66k bằng tiền mặt,66000,Cafe,Chi tiêu
Uống nước vs bạn 168k bằng tiền mặt,168000,Cafe,Chi tiêu
Mua bánh kem sn Vương 50k bằng tiền mặt,50000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua sữa cho bame 98k ck,98000,Sức khỏe,Chi tiêu
"Mua sách ""Đúng Việc"" 105k",105000,Giáo dục,Chi tiêu
Xà bông gọi đầu 30k tiền,30000,Khác,Chi tiêu
Cho Khải mua cầu 10 nghìn,10000,Giải trí,Chi tiêu
Ăn vặt 100 nghìn,100000,Tạp phẩm,Chi tiêu
Thanh toán Sinh nhật anh Tiến 200k,200000,Trả nợ,Chi tiêu
20000,20000,Sức khỏe,Chi tiêu
Nc tẩy trang + srm + bông tẩy trang 395k bằng tiền mặt,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Mẹ cho 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
298000,298000,Giải trí,Chi tiêu
Thanh toán Di chuyển 50k,50000,Di chuyển,Chi tiêu
"Sách ""Chinh phục những điều bất khả thi"" 163k ck",163000,Giáo dục,Chi tiêu
Cho Bằng mượn tiền 1tr hôm nay,1000000,Mượn tiền,Thu nhập
Mua bánh kem sinh nhật anh 2 220k bằng tiền mặt,220000,Mỹ phẩm chăm sóc da,Chi tiêu
Áo + 50k giải CLB Runner LA 200k bằng tiền mặt,200000,Trả nợ,Chi tiêu
Đi bơi 40k hôm nay,40000,Khác,Chi tiêu
Đám cưới Huyền 500k,500000,Đám tiệc,Chi tiêu
100000,100000,Trả nợ,Chi tiêu
Thanh toán Xăng 50k,50000,Di chuyển,Chi tiêu
Thanh toán Nước đá thả lỏng sau long run 5k,5000,Sức khỏe,Chi tiêu
Vaselines khô môi 65k ck,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Trà sữa 40k tiền,40000,Cafe,Chi tiêu
Thanh toán Đập heo 1.7tr,1688000,Khác,Chi tiêu
Thanh toán Mua nc muối 10k,10000,Sức khỏe,Chi tiêu
Lương tháng 7 180k tiền,180000,Phiếu lương,Thu nhập
39000,39000,Cafe,Chi tiêu
Hớt tóc 60k bằng tiền mặt,60000,Hớt tóc,Chi tiêu
Uống nước nghe nhạc 40k ck,40000,Cafe,Chi tiêu
171000,171000,Giáo dục,Chi tiêu
Mẹ cho 1tr 1tr hôm nay,1000000,Quà tặng,Thu nhập
80000,80000,Quà tặng,Thu nhập
Cho Hậu mượn 200k,200000,Mượn tiền,Thu nhập
Làm tóc 260k ck,260000,Hớt tóc,Chi tiêu
Bánh kem sinh nhật Khải 210k,210000,Đám tiệc,Chi tiêu
Lì xì 200k hôm nay,200000,Quà tặng,Thu nhập
Mạng 5g Viettel 150k bằng tiền mặt,150000,4G,Chi tiêu
Tiền trả góp dt tháng 9 840k ck,840000,Trả nợ,Chi tiêu
Xem phim công tử bạc liêu 146 nghìn,146000,Giải trí,Chi tiêu
Thanh toán 2 cho 500k 500k,500000,Quà tặng,Thu nhập
Xăng 30k ck,30000,Di chuyển,Chi tiêu
Hùng tiền nhậu 100k tiền,100000,Đám tiệc,Chi tiêu
Ăn kem 30k bằng tiền mặt,30000,Cafe,Chi tiêu
200000,200000,Trả nợ,Chi tiêu
50000,50000,Mỹ phẩm chăm sóc da,Chi tiêu
Tiền ăn 2 cho 101k hôm nay,101000,Quà tặng,Thu nhập
Cho Bằng mượn 1tr ck,1000000,Mượn tiền,Thu nhập
Thanh toán Nạp tiền dt 30k,30000,Khác,Chi tiêu
Thanh toán Hớt tóc 60k,60000,Hớt tóc,Chi tiêu
Bánh kem sinh nhật Khải 210k ck,210000,Đám tiệc,Chi tiêu
Thanh toán Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k tiền,100000,Giải trí,Chi tiêu
Thanh toán Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299k bằng tiền mặt",299000,Giáo dục,Chi tiêu
Thanh toán Đổ xăng 30k,30000,Di chuyển,Chi tiêu
Card wifi 255k tiền,255000,4G,Chi tiêu
Thanh toán Thuốc cảm 154k,154000,Sức khỏe,Chi tiêu
Trả nợ 2 1 triệu,1000000,Trả nợ,Chi tiêu
Sinh nhật Linh 220 nghìn,220000,Đám tiệc,Chi tiêu
1000000,1000000,Trả nợ,Chi tiêu
Hùng tiền nhậu 100k hôm nay,100000,Đám tiệc,Chi tiêu
Sinh nhật anh Tiến 200k tiền,200000,Trả nợ,Chi tiêu
2200000,2200000,Quà tặng,Thu nhập
Đám cưới Oanh 1tr,1000000,Giải trí,Chi tiêu
Học phí UIT  nghìnỳ 3 7.8 triệu,7830000,Giáo dục,Chi tiêu
Trả Cupe Tiên 200k ck,200000,Trả nợ,Chi tiêu
Hớt tóc 50k hôm nay,50000,Hớt tóc,Chi tiêu
"Đặc thù, truy lãnh, tiền ăn tết, bánh chưng, định lượng 5.4tr tiền",5400000,Quà tặng,Thu nhập
Thanh toán Hớt tóc 70k,70000,Hớt tóc,Chi tiêu
Mượn 2 mua lẩu 500k hôm nay,500000,Mượn tiền,Thu nhập
Cho Phát mượn 40 nghìn,40000,Mượn tiền,Thu nhập
Thanh toán Mẹ cho 300k,300000,Quà tặng,Thu nhập
Cho tiền Khải mua đồ 6k hôm nay,6000,Quà tặng,Thu nhập
Bông gòn rái tay 20 nghìn,20000,Khác,Chi tiêu
Uống nước nghe nhạc 40k ck,40000,Cafe,Chi tiêu
Caffe 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Mượn mẹ 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Làm răng 400k tiền,400000,Sức khỏe,Chi tiêu
Hùng tiền nhậu 100k bằng tiền mặt,100000,Đám tiệc,Chi tiêu
Ăn sáng 79 nghìn,79000,Tạp phẩm,Chi tiêu
5000,5000,Di chuyển,Chi tiêu
Ăn uống đi bệnh viện 143k bằng tiền mặt,143000,Giải trí,Chi tiêu
Ăn uống vs bạn bè 200k hôm nay,200000,Giải trí,Chi tiêu
Xăng xe 30k hôm nay,30000,Di chuyển,Chi tiêu
Trả nợ chị 2 1.5 triệu,1500000,Trả nợ,Chi tiêu
146000,146000,Giải trí,Chi tiêu
K rõ tiền đâu ra 27k,27000,Quà tặng,Thu nhập
100000,100000,Đám tiệc,Chi tiêu
Bánh pía 43k bằng tiền mặt,43000,Tạp phẩm,Chi tiêu
50000,50000,Di chuyển,Chi tiêu
Xăng 50k tiền,50000,Di chuyển,Chi tiêu
Ship hàng sim 30k tiền,30000,4G,Chi tiêu
Trả chị 2 300k ck,300000,Trả nợ,Chi tiêu
"Mua sách ""Đúng Việc"" 105k ck",105000,Giáo dục,Chi tiêu
Xăng 30k hôm nay,30000,Di chuyển,Chi tiêu
Mượn mẹ 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
10000,10000,Sức khỏe,Chi tiêu
Cho Hậu mượn 100k 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
"Sách ""Chinh phục những điều bất khả thi"" 163k ck",163000,Giáo dục,Chi tiêu
100000,100000,Đám tiệc,Chi tiêu
Mượn chị 2 300k hôm nay,300000,Mượn tiền,Thu nhập
Cho Phát mượn 40k bằng tiền mặt,40000,Mượn tiền,Thu nhập
Xà bông gội đầu 15k hôm nay,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Sách: Hiểu hết về tiền 230k hôm nay,230000,Giáo dục,Chi tiêu
Thanh toán Tiền dt tháng 8 800k,800000,Trả nợ,Chi tiêu
1000000,1000000,Mượn tiền,Thu nhập
Sinh nhật Linh 220k ck,220000,Đám tiệc,Chi tiêu
Đổ xăng 50k tiền,50000,Di chuyển,Chi tiêu
Thanh toán Phụ cấp tháng 5/2025 2.2tr,2220000,Phiếu lương,Thu nhập
Hớt tóc 30k tiền,30000,Hớt tóc,Chi tiêu
Trả chị 2 1 triệu,1000000,Trả nợ,Chi tiêu
60000,60000,Hớt tóc,Chi tiêu
Xăng 30 nghìn,30000,Di chuyển,Chi tiêu
Thanh toán Mua xà bông gội đầu 30k,30000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Cọc tiền dt 450k,450000,Trả nợ,Chi tiêu
Thanh toán Cho Khải mua cầu 10k,10000,Giải trí,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1tr,1000000,Phiếu lương,Thu nhập
10000,10000,4G,Chi tiêu
Nạp tiền dt mua mạng 10k,10000,4G,Chi tiêu
"Mua sách ""Đúng Việc"" 105k",105000,Giáo dục,Chi tiêu
"Đổ xăng, mua chuối + caffe cúng, bánh 184k ck",184000,Di chuyển,Chi tiêu
Ăn sáng 3 phần 60 nghìn,60000,Tạp phẩm,Chi tiêu
Nạp tiền dt mua mạng 130k tiền,130000,4G,Chi tiêu
Lương tháng 10 2tr ck,1990000,Phiếu lương,Thu nhập
Cắt tóc 60k hôm nay,60000,Hớt tóc,Chi tiêu
Thanh toán Ăn sinh nhật đại ca 300k,300000,Giải trí,Chi tiêu
Thanh toán Hớt tóc 100k,100000,Hớt tóc,Chi tiêu
Điện + wifi 222k tiền,222000,4G,Chi tiêu
Mua sách 155k tiền,155000,Giáo dục,Chi tiêu
Mua thuốc 28k bằng tiền mặt,28000,Sức khỏe,Chi tiêu
200000,200000,Tạp phẩm,Chi tiêu
Thanh toán Thuốc cảm 154k,154000,Sức khỏe,Chi tiêu
Hớt tóc 30k bằng tiền mặt,30000,Hớt tóc,Chi tiêu
Mua sách 155 nghìn,155000,Giáo dục,Chi tiêu
Khác 18k,18000,Khác,Chi tiêu
Mẹ cho 1tr hôm nay,1000000,Quà tặng,Thu nhập
Thanh toán Trừ thêm tiền ăn tháng 2 750k,750000,Tạp phẩm,Chi tiêu
Mượn tiền mua sách 120 nghìn 120 nghìn,120000,Mượn tiền,Thu nhập
Sim 5gb 1.1 triệu,1050000,4G,Chi tiêu
Đám cưới Huyền 500k hôm nay,500000,Đám tiệc,Chi tiêu
168000,168000,Cafe,Chi tiêu
145000,145000,Đám tiệc,Chi tiêu
Caffe vs đám bạn 66 nghìn,66000,Cafe,Chi tiêu
2 cho 500k 500k hôm nay,500000,Quà tặng,Thu nhập
Mượn tiền mua sách 120k 120k hôm nay,120000,Mượn tiền,Thu nhập
Lấy đồ giặt giùm a Khoa 35k bằng tiền mặt,35000,Khác,Chi tiêu
40000,40000,Mượn tiền,Thu nhập
Ăn sinh nhật đại ca 300k ck,300000,Giải trí,Chi tiêu
Thanh toán Tiền bán dt anh 2 cho 200k,200000,Quà tặng,Thu nhập
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Thanh toán Cho Cupe Tiên mượn đóng tiền học 300k,300000,Mượn tiền,Thu nhập
Thanh toán Tiền ăn lễ 225k,225000,Phiếu lương,Thu nhập
Dao cạo râu 22k ck,22000,Mỹ phẩm chăm sóc da,Chi tiêu
32000,32000,Sức khỏe,Chi tiêu
Mua bánh kem cho a 2 20k tiền,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Phụ cấp tháng 11 2.4tr,2386000,Phiếu lương,Thu nhập
Hớt tóc 60k bằng tiền mặt,60000,Hớt tóc,Chi tiêu
1953000,1953000,Phiếu lương,Thu nhập
ChayGPT Plus share 1 tháng 157k bằng tiền mặt,157000,Khác,Chi tiêu
Ăn sáng 100k hôm nay,100000,Tạp phẩm,Chi tiêu
Thanh toán Caffe vs đám bạn 66k,66000,Cafe,Chi tiêu
Photo chụp hình công chứng giấy đăng ký nghĩa vụ 85k ck,85000,Khác,Chi tiêu
Nước coca coi phim 57k bằng tiền mặt,57000,Giải trí,Chi tiêu
Caffe vs đám bạn 66k hôm nay,66000,Cafe,Chi tiêu
Mượn 2 1tr 1tr ck,1000000,Mượn tiền,Thu nhập
Tiền Taxi cô 5 156 nghìn,156000,Di chuyển,Chi tiêu
Sinh nhật Mỹ Nhàn 600k hôm nay,600000,Đám tiệc,Chi tiêu
Thanh toán Tiền ăn lễ 225k,225000,Phiếu lương,Thu nhập
Thanh toán Rút tiết kiệm 300k,300000,Khác,Chi tiêu
Xà bông gội đầu 15k,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Nc tẩy trang 165k tiền,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Ăn uống 70k hôm nay,70000,Tạp phẩm,Chi tiêu
Quần chạy bộ + 2 đôi vớ 392k ck,392000,Khác,Chi tiêu
39000,39000,Cafe,Chi tiêu
Mượn 2 mua lẩu 500k ck,500000,Mượn tiền,Thu nhập
Sinh nhật anh Tiến 200k hôm nay,200000,Trả nợ,Chi tiêu
Học phí UIT  nghìnỳ 2 7 triệu,6960000,Giáo dục,Chi tiêu
Đám cưới 500k hôm nay,500000,Đám tiệc,Chi tiêu
Trail leo núi Dinh BR VT 298k tiền,298000,Giải trí,Chi tiêu
Thanh toán Cho Bằng mượn tiền 500k,500000,Mượn tiền,Thu nhập
Mua sách 155k bằng tiền mặt,155000,Giáo dục,Chi tiêu
Mua cá mú chiên sả 30k,30000,Tạp phẩm,Chi tiêu
Thanh toán Sinh nhật Hậu vs a An vs chị Sương 300k,300000,Đám tiệc,Chi tiêu
Khác 80k tiền,80000,Khác,Chi tiêu
Thanh toán Mượn a Hảo. Đã trả 100k,100000,Trả nợ,Chi tiêu
2000,2000,Giáo dục,Chi tiêu
Hớt tóc 70k,70000,Hớt tóc,Chi tiêu
Hớt tóc 50k tiền,50000,Hớt tóc,Chi tiêu
Thanh toán Mua nến thơm + khẩu trang 75k,75000,Tạp phẩm,Chi tiêu
Lương tháng 7 1.8tr tiền,1800000,Phiếu lương,Thu nhập
Thanh toán Đổ xăng 30k,30000,Di chuyển,Chi tiêu
Hớt tóc 70 nghìn,70000,Hớt tóc,Chi tiêu
Sinh nhật Linh 220 nghìn,220000,Đám tiệc,Chi tiêu
Khám sức khỏe hồ sơ xin việc 120k hôm nay,120000,Sức khỏe,Chi tiêu
Thuốc cảm 78k ck,78000,Sức khỏe,Chi tiêu
Khám sức khỏe hồ sơ xin việc 120k hôm nay,120000,Sức khỏe,Chi tiêu
Mẹ cho 1tr tiền,1000000,Quà tặng,Thu nhập
Mua vé xem phim 2/9 160k tiền,160000,Giải trí,Chi tiêu
Học phí UIT kỳ 3 7.8tr bằng tiền mặt,7830000,Giáo dục,Chi tiêu
Mua đồ ăn cơm 86k bằng tiền mặt,86000,Tạp phẩm,Chi tiêu
Mẹ cho 1 triệu 1 triệu,1000000,Quà tặng,Thu nhập
Mua sách 155k hôm nay,155000,Giáo dục,Chi tiêu
Tiền mẹ cho 80k tiền,80000,Quà tặng,Thu nhập
Sinh nhật anh Tiến 200k ck,200000,Trả nợ,Chi tiêu
Mẹ cho 500 nghìn 500 nghìn,500000,Quà tặng,Thu nhập
Mua đất sét cho Khải học 23 nghìn,23000,Giáo dục,Chi tiêu
Nước coca coi phim 57k ck,57000,Giải trí,Chi tiêu
Lì xi trưởng CAH 500k ck,500000,Quà tặng,Thu nhập
Ăn sáng 30k hôm nay,30000,Tạp phẩm,Chi tiêu
Mạng 5g Viettel 150k,150000,4G,Chi tiêu
Phụ cấp tháng 5/2025 2.2tr bằng tiền mặt,2220000,Phiếu lương,Thu nhập
Mua thuốc sưng nướu răng 28k tiền,28000,Sức khỏe,Chi tiêu
Mẹ cho 500k tiền,500000,Quà tặng,Thu nhập
"Sách ""Một đời như kẻ tìm đường"" 135k",135000,Giáo dục,Chi tiêu
Xăng 30k,30000,Di chuyển,Chi tiêu
60000,60000,Hớt tóc,Chi tiêu
Thanh toán Hớt tóc 60k,60000,Hớt tóc,Chi tiêu
Thanh toán Hớt tóc 100k,100000,Hớt tóc,Chi tiêu
Đám cưới 500 nghìn,500000,Đám tiệc,Chi tiêu
3 chuyến bus 18k tiền,18000,Di chuyển,Chi tiêu
Hớt tóc 70k bằng tiền mặt,70000,Hớt tóc,Chi tiêu
Thanh toán Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
168000,168000,Cafe,Chi tiêu
Thuốc 7 ngày 98k bằng tiền mặt,98000,Sức khỏe,Chi tiêu
Mua 2 ngày thuốc 100k hôm nay,100000,Sức khỏe,Chi tiêu
Học phí UIT kỳ 3 7.8tr bằng tiền mặt,7830000,Giáo dục,Chi tiêu
31000,31000,Sức khỏe,Chi tiêu
Mua caffe đi tòa 33k hôm nay,33000,Cafe,Chi tiêu
Cho Cupe Tiên mượn đóng tiền học 300k bằng tiền mặt,300000,Mượn tiền,Thu nhập
Thanh toán Salonship 20k,20000,Sức khỏe,Chi tiêu
Trà sữa 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Khác 24k bằng tiền mặt,24000,Khác,Chi tiêu
Mượn a Hảo. Đã trả 100k ck,100000,Trả nợ,Chi tiêu
"Sữa tắm 159k, gội đầu 155k, lăn khử mùi 115k 419k",419000,Mỹ phẩm chăm sóc da,Chi tiêu
Học phí UIT kỳ 3 7.8tr,7830000,Giáo dục,Chi tiêu
Kem đánh răng 25k,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Caffe vs đám bạn 66k hôm nay,66000,Cafe,Chi tiêu
Sáp khử mùi 119k tiền,119000,Mỹ phẩm chăm sóc da,Chi tiêu
Hớt tóc 70k ck,70000,Hớt tóc,Chi tiêu
500000,500000,Mượn tiền,Thu nhập
Thanh toán Xăng 50k,50000,Di chuyển,Chi tiêu
Thanh toán Mẹ cho 300k,300000,Quà tặng,Thu nhập
Ăn vặt 88 nghìn,88000,Tạp phẩm,Chi tiêu
Điện + wifi 222k,222000,4G,Chi tiêu
Ăn uống đi bệnh viện 143k hôm nay,143000,Giải trí,Chi tiêu
Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
Cho Khải mua cầu 10k ck,10000,Giải trí,Chi tiêu
Dán dt cho Mẹ 60 nghìn,60000,Khác,Chi tiêu
Mua thuốc 28 nghìn,28000,Sức khỏe,Chi tiêu
Tiền cọc dt tháng cuối 1tr,1000000,Trả nợ,Chi tiêu
Cho nội 200k bằng tiền mặt,200000,Khác,Chi tiêu
Uống nước nghe nhạc 40k hôm nay,40000,Cafe,Chi tiêu
Lương tháng 1 2tr,1962000,Phiếu lương,Thu nhập
300000,300000,Mượn tiền,Thu nhập
230000,230000,Giáo dục,Chi tiêu
Mẹ 500k + Cô 5 500k 1tr bằng tiền mặt,1000000,Quà tặng,Thu nhập
Đám cưới Oanh 1 triệu,1000000,Giải trí,Chi tiêu
Ăn sáng 95k tiền,95000,Tạp phẩm,Chi tiêu
31000,31000,Sức khỏe,Chi tiêu
Mẹ cho bỏ túi 500k ck,500000,Quà tặng,Thu nhập
Hùng tiền tất niên 100k,100000,Trả nợ,Chi tiêu
Trail leo núi Dinh BR VT 298k tiền,298000,Giải trí,Chi tiêu
Tiền  triệuả góp điện thoại tháng 7 830 nghìn,830000,Trả nợ,Chi tiêu
Hớt tóc 50k bằng tiền mặt,50000,Hớt tóc,Chi tiêu
Nc tẩy  triệuang + srm + bông tẩy  triệuang 395 nghìn,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Nạp tiền dt mua mạng 130k hôm nay,130000,4G,Chi tiêu
Kem rạng da 327 nghìn,327000,Mỹ phẩm chăm sóc da,Chi tiêu
Nạp tiền dt 30k,30000,Khác,Chi tiêu
Tiền trả góp dt tháng 9 840k ck,840000,Trả nợ,Chi tiêu
Thanh toán Lương tháng 7 1.8tr,1800000,Phiếu lương,Thu nhập
Dao cạo râu 22k tiền,22000,Mỹ phẩm chăm sóc da,Chi tiêu
Cho Bằng mượn 1tr ck,1000000,Mượn tiền,Thu nhập
70000,70000,Sức khỏe,Chi tiêu
Mua 2 ngày thuốc 100k ck,100000,Sức khỏe,Chi tiêu
Thanh toán Không nhớ rõ hoặc nhầm 96k,96000,Khác,Chi tiêu
Thưởng cơ quan + định lượng 2tr,2000000,Quà tặng,Thu nhập
Trà sữa 40k ck,40000,Cafe,Chi tiêu
Thuốc cảm 78k ck,78000,Sức khỏe,Chi tiêu
200000,200000,Quà tặng,Thu nhập
Caffe 100k hôm nay,100000,Mượn tiền,Thu nhập
Trà sữa 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Nước coca coi phim 57k hôm nay,57000,Giải trí,Chi tiêu
Thanh toán Cho nội 200k,200000,Khác,Chi tiêu
25000,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Kem đánh răng 25 nghìn,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn sáng 20k,20000,Tạp phẩm,Chi tiêu
Thanh toán Đám cưới 500k,500000,Đám tiệc,Chi tiêu
Cho Hậu mượn 100k 100k ck,100000,Mượn tiền,Thu nhập
Wifi tháng 5 65 nghìn,65000,4G,Chi tiêu
Chị 2 cho tiền sinh nhật 500k,500000,Quà tặng,Thu nhập
Sách Con đường chẳng mấy ai đi 123k tiền,123000,Giáo dục,Chi tiêu
Cắt tóc 60k,60000,Hớt tóc,Chi tiêu
Viettel 5G 150k,150000,4G,Chi tiêu
Phiếu lương 7.6tr,7643000,Phiếu lương,Thu nhập
Hớt tóc 50k bằng tiền mặt,50000,Hớt tóc,Chi tiêu
Trail leo núi Dinh BR VT 298k hôm nay,298000,Giải trí,Chi tiêu
Mượn a Hảo tiền mua caffe 50k hôm nay,50000,Trả nợ,Chi tiêu
Uống nước nghe nhạc 40k ck,40000,Cafe,Chi tiêu
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Thanh toán Lương tháng 2 2.5tr,2500000,Phiếu lương,Thu nhập
Thanh toán Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
Đổ xăng 20k ck,20000,Di chuyển,Chi tiêu
Đi xe xuống cơ quan 250k tiền,250000,Di chuyển,Chi tiêu
Mượn mẹ 100k,100000,Mượn tiền,Thu nhập
Ăn uống vs sếp 150k,150000,Tạp phẩm,Chi tiêu
30000,30000,Tạp phẩm,Chi tiêu
Gây quỹ ủng hộ bão số 3 20k bằng tiền mặt,20000,Khác,Chi tiêu
Khác 80 nghìn,80000,Khác,Chi tiêu
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
Xăng 50k tiền,50000,Di chuyển,Chi tiêu
Lãnh lương tháng 6 6.5tr ck,6500000,Phiếu lương,Thu nhập
Sách Tài chính cá nhân dành cho người Việt Nam 157k hôm nay,157000,Giáo dục,Chi tiêu
Lì xì 200 nghìn,200000,Quà tặng,Thu nhập
Thanh toán Salonship 20k,20000,Sức khỏe,Chi tiêu
Dây đeo đồng hồ 310k tiền,310000,Khác,Chi tiêu
40000,40000,Tạp phẩm,Chi tiêu
Tiền cọc nhà cũ 1.2tr ck,1160000,Quà tặng,Thu nhập
Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
Thanh toán Điện + wifi 222k,222000,4G,Chi tiêu
Phiếu lương 7.4tr tiền,7400000,Phiếu lương,Thu nhập
Thanh toán Mua kẹo ngậm 10k,10000,Sức khỏe,Chi tiêu
Uống nước nghe nhạc 40k hôm nay,40000,Cafe,Chi tiêu
Hùng tiền nhậu 100k hôm nay,100000,Đám tiệc,Chi tiêu
Mua nc muối 10k tiền,10000,Sức khỏe,Chi tiêu
Nước dừa 40k ck,40000,Tạp phẩm,Chi tiêu
Đám cưới Ngân Ngân 400k hôm nay,400000,Đám tiệc,Chi tiêu
Hớt tóc 50k hôm nay,50000,Hớt tóc,Chi tiêu
Vaselines khô môi 65k tiền,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Lì xì của cô năm r xài r nữa 16 nghìn,16000,Quà tặng,Thu nhập
Caffe vs đám bạn 66k bằng tiền mặt,66000,Cafe,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1tr ck,1000000,Phiếu lương,Thu nhập
Lấy đồ giặt giùm a Khoa 35k tiền,35000,Khác,Chi tiêu
Trả chị 2 1tr tiền,1000000,Trả nợ,Chi tiêu
Đổ xăng 20k bằng tiền mặt,20000,Di chuyển,Chi tiêu
Lương tháng 7 180 nghìn,180000,Phiếu lương,Thu nhập
Thanh toán Đám cưới 500k,500000,Đám tiệc,Chi tiêu
Mua nc cho sếp a An chưa chuyển lại 115k tiền,115000,Tạp phẩm,Chi tiêu
Đưa Cupe Tiên mượn 150 nghìn,150000,Mượn tiền,Thu nhập
Sửa rửa mặt 283 nghìn,283000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn uống vs bạn bè 200k ck,200000,Giải trí,Chi tiêu
Bánh kem sinh nhật chị Nị 145k hôm nay,145000,Đám tiệc,Chi tiêu
Mua caffe đi tòa 33k hôm nay,33000,Cafe,Chi tiêu
Sách Tài chính cá nhân dành cho người Việt Nam 157k,157000,Giáo dục,Chi tiêu
Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
Uống nước vs bạn 168k hôm nay,168000,Cafe,Chi tiêu
Hớt tóc 50 nghìn,50000,Sức khỏe,Chi tiêu
Caffe vs đám bạn 66k hôm nay,66000,Cafe,Chi tiêu
3000000,3000000,Mượn tiền,Thu nhập
Tiền đặc thù 600k hôm nay,600000,Phiếu lương,Thu nhập
Sim 5gb 1.1 triệu,1050000,4G,Chi tiêu
Thuốc 120k hôm nay,120000,Sức khỏe,Chi tiêu
Thanh toán Mua bánh xèo vào ăn vs Bằng 100k,100000,Giải trí,Chi tiêu
Mua bánh kem sn Vương 50k tiền,50000,Mỹ phẩm chăm sóc da,Chi tiêu
25000,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Photo công chứng 60k,60000,Khác,Chi tiêu
Uống nước vs bạn 168k ck,168000,Cafe,Chi tiêu
Xăng 50k,50000,Di chuyển,Chi tiêu
Thanh toán Mượn tiền ăn Cupe Tiên 450k,450000,Trả nợ,Chi tiêu
20000,20000,Khác,Chi tiêu
Đưa cupe Tiên mượn 150k 150k bằng tiền mặt,150000,Mượn tiền,Thu nhập
Tiền ăn 500k tiền,500000,Trả nợ,Chi tiêu
Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
Ăn uống vs bạn bè 200k bằng tiền mặt,200000,Giải trí,Chi tiêu
Mượn tiền 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
30000,30000,Cafe,Chi tiêu
Photo chụp hình công chứng giấy đăng ký nghĩa vụ 85k hôm nay,85000,Khác,Chi tiêu
Tiền ăn 2 cho 101k,101000,Quà tặng,Thu nhập
119000,119000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Tiền đặc thù 600k,600000,Phiếu lương,Thu nhập
Cô A.Linh gửi 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
Mua sách 182k,182000,Giáo dục,Chi tiêu
Ship hàng sim 30 nghìn,30000,4G,Chi tiêu
Xà bông gội đầu 15k tiền,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua vé xem phim 2/9 160k hôm nay,160000,Giải trí,Chi tiêu
Thanh toán Trail leo núi Dinh BR VT 298k,298000,Giải trí,Chi tiêu
Mẹ 500 nghìn + Cô 5 500 nghìn 1 triệu,1000000,Quà tặng,Thu nhập
Xăng 30 nghìn,30000,Di chuyển,Chi tiêu
"Thanh toán Mua sách ""Đúng Việc"" 105k",105000,Giáo dục,Chi tiêu
Nạp tiền dt mua mạng 130k ck,130000,4G,Chi tiêu
Cắt tóc 60k tiền,60000,Hớt tóc,Chi tiêu
Thanh toán Lương tháng 1 2tr,1962000,Phiếu lương,Thu nhập
Ăn uống đi bệnh viện 143k ck,143000,Giải trí,Chi tiêu
Nạp tiền dt 10k bằng tiền mặt,10000,Khác,Chi tiêu
Thanh toán Cạo vôi răng 100k,100000,Sức khỏe,Chi tiêu
Thanh toán Mua lăn nách 79k,79000,Sức khỏe,Chi tiêu
